id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN071,"can i get a quick recipe that uses coconut milk and curry paste, preferably dairy free?","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN072,"looking for a fast dish with coconut milk, curry paste and veggies that's dairy free","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN073,need an easy dairy-free recipe with coConut milk and curry paste that's under 30 mins!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN074,what's a good dairy-free meal i can make with curry paste and coconut milk in like 30 mins or less?,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN075,pls give me a quick curry recipe with coconut milk and veggies thx! 🙂,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, curry paste, vegetables"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN076,need a kosher recipe from pantry ingredients,"{""DietaryNeedsOrRestrictions"":""kosher"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN077,looking for a kosher meal that's moderate effort,"{""DietaryNeedsOrRestrictions"":""kosher"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN078,What’s a good kosher dish I can make in 30-60 mins?,"{""DietaryNeedsOrRestrictions"":""kosher"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN079,need kosher dinner ideas with what I have,"{""DietaryNeedsOrRestrictions"":""kosher"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN080,pls suggest a medium effort kosher recipe thx! 🍽️,"{""DietaryNeedsOrRestrictions"":""kosher"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN081,need a vegan recipe that uses chickpeas avocados quinoa and is super quick,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocados, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN082,looking for a simple vegan dish i can whip up with avocado and chickpeas in under 30 mins,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocados, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN083,what’s an easy vegan recipe using chickpeas and quinoa?,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocados, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN084,need a fast plant based meal with quinoa pls,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocados, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN085,I want a quick and easy recipe that’s vegan and has avocados chickpeas and quinoa in it! 🥑,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocados, quinoa"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN086,i need a quick egg-free recipe using tofu bell peppers and soy sauce,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""must_use_specific: tofu, bell peppers, soy sauce"",""CuisinePreference"":""specific_cuisine: asian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN087,What's a fast Asian dish with tofu and green bell peppers that's also egg free?,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""must_use_specific: tofu, bell peppers, soy sauce"",""CuisinePreference"":""specific_cuisine: asian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN088,need egg-free dinner ideas in under 30 mins with tofu pls,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""must_use_specific: tofu, bell peppers, soy sauce"",""CuisinePreference"":""specific_cuisine: asian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN089,looking for a quick tofu recipe that’s Asian and uses bell peppers too!,"{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""must_use_specific: tofu, bell peppers, soy sauce"",""CuisinePreference"":""specific_cuisine: asian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN090,"can u help me find a simple egg-free stir fry recipe using tofu, bell peppers & soy sauce?","{""DietaryNeedsOrRestrictions"":""egg-free"",""AvailableIngredientsFocus"":""must_use_specific: tofu, bell peppers, soy sauce"",""CuisinePreference"":""specific_cuisine: asian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN091,Can you help me find a complex halal Middle Eastern recipe that I can take my time with? Anything advanced would do!,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN092,i want an elaborate halal dinner recipe from the middle east nothing specific in mind just something really complex and delicious 🤤,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN093,looking for an advanced middle eastern halal dish that requires high effort i dont have any specific ingredients so anything goes!,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN094,WHERE CAN i GET a complex halal MIDDLE EASTERN RECIPE that takes a while to prepare? I’m flexible on TIME!!!,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN095,"need an intricate halal recipe with middle eastern flavors. i’m ready to put in the effort, no specific ingredients just guidance on something ambitious!","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN096,i need a quick low-carb italian dish using zucchini turkey and parmesan 🥒🍗,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground turkey, parmesan"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN097,can u give me an easy recipe 4 low-carb italian food that has ground turkey zuccini and parm?,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground turkey, parmesan"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN098,"Looking for quick, low carb dinner ideas with zucchini, ground turkey & parmesan. Any suggestions?","{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground turkey, parmesan"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN099,what's an easy low-carb italian recipe I can make in under 30 mins using zucchini ground turkey and parmesan?,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground turkey, parmesan"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN100,need a simple recipe that uses zucchini and ground turkey but is low carb and quick to make! thx!,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground turkey, parmesan"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN101,Pescatarian recipe salmon asparagus lemon med high effort,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN102,"need a medditeranean dish with salmon, asparagus and lemon pls","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN103,looking for advanced salmon asparagas meal with lemon,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN104,I want a complex pescatarian recipe using salmon aspargus lemon,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN105,Salmon + asparagus + lemon in a med recipe?! Need it soon! 🍋🍣,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, asparagus, lemon"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN106,Can you suggest an advanced italian dish that takes a while to prepare and wow my friends? I'd love something complex and delicious!,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN107,"looking for a challenging italian recipe w/ lots of steps and rich flavors. No specific ingredients in mind, just want to impress 😊","{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN108,"Hey, I'm ready to tackle an intricate italian recipe! Pls give me something really detailed and high effort – I'm flexible on timing!","{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN109,Any advanced italian cooking ideas? i want a recipe that will really test my skills and doesn't have any ingredient restrictions. i prefer something complex!,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN110,what's a super complex italian dish that requires a lot of effort? i have plenty of time and no specific ingredients to worry about. please be detailed,"{""DietaryNeedsOrRestrictions"":""no restrictions"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN111,"i need a paleo recipe using stuff i can find in my pantry, something intermediate but tasty","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN112,"Looking for a paleo recipe that's not too hard to make, would love to use what I have in the pantry","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN113,got any suggestions for a paleo dish? i have a flexible schedule and can spend some time on it but i want it to be good!,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN114,Paleo recipe is what i need! Pls give me something decent that uses general pantry ingredients and takes a bit of effort to make. Thanks!,"{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN115,"Need ideas for a paleo meal that I can whip up with pantry staples. Not super easy, but not too complicated either 😅","{""DietaryNeedsOrRestrictions"":""paleo"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN116,need a quick diabetic friendly recipe from pantry,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: high-sugar"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN117,Can you suggest a low effort diabetic meal that avoids high-sugar?,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: high-sugar"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN118,looking for simple diabetic friendly dish under 30 mins,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: high-sugar"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN119,Diabetic recipe that's easy to make and uses pantry staples?,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: high-sugar"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN120,pls i need a fast diabetic recipe with everyday ingredients 😅,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: high-sugar"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN121,easy keto meals 30 mins,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: high-carb"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN122,need a simple keto recipe quick! 😋,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: high-carb"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN123,whats an easy keto dinner no high carb,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: high-carb"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN124,keto dinner ideas low effort pls,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: high-carb"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN125,looking for a fast keto recipe under an hr,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""avoid_specific: high-carb"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN126,Can you help me find an advanced halal indian recipe using what I have in my pantry?,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN127,looking for a complex halal indian dish that takes around 45 mins to cook,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN128,I Need a high-effort indian recipe that's halal and can be made with general pantry staples,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN129,whats a good halal recipe from india that i can make in about 30 to 60 mins,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN130,pls suggest a challenging halal indian recipe using my pantry stuff 🙏,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN131,need a gluten free recipe quick,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, lime"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN132,gluten free dish with quinoa black beans lime plz,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, lime"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN133,wahts an easy recipe for black beans and quinoa?,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, lime"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN134,easy quick glutenfree meal 30 mins!,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, lime"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN135,looking for gluten-free recipes with quinoa and lime🥑,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, lime"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN136,"Could you help me find a dairy-free recipe using coconut milk, spinach, and chicken? I'm open to any cuisine and have some time to spend on it.","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, spinach, chicken"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN137,"i really wanna make something cute but i need a recipe that uses chicken, coconut milk, and spinach that’s dairy free. Any cuisine works, and i’m up for some intermediate skills! 🍽️","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, spinach, chicken"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN138,"What's a tasty dairy-free dish that includes chicken, coconut milk, and spinach? I have all afternoon, so I'm okay with some moderate effort!","{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, spinach, chicken"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN139,need a recipe for chicken with coconut milk and spinach that's dairy free plz. any cuisine is fine. i can spend some time cooking!,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, spinach, chicken"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN140,plz help me find a dairy-free meal with chicken coconut milk and spinach. i'm flexible on time and willing to put in intermediate effort! thx 🙏,"{""DietaryNeedsOrRestrictions"":""dairy-free"",""AvailableIngredientsFocus"":""must_use_specific: coconut milk, spinach, chicken"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
